ID,LastModified,Name
1,2018-09-12 11:48:41.8222857,AM Yeghvard
2,2018-09-12 11:48:41.8257971,AM Gyumri
3,2018-09-12 11:48:41.8257971,AM Goris
4,2018-09-12 11:48:41.8257971,AM Gavar
5,2018-09-12 11:48:41.8257971,AM Echmiadzin
6,2018-09-12 11:48:41.8257971,AM Dilijan
7,2018-09-12 11:48:41.8257971,AM Chambarak
8,2018-09-12 11:48:41.8257971,AM Berd
9,2018-09-12 11:48:41.8257971,AM Hrazdan
10,2018-09-12 11:48:41.8257971,AM Ashtarak
11,2018-09-12 11:48:41.8257971,AM Artik
12,2018-09-12 11:48:41.8257971,AM Artashat
13,2018-09-12 11:48:41.8257971,AM Armavir
14,2018-09-12 11:48:41.8257971,AM Ararat
15,2018-09-12 11:48:41.8257971,AM Aparan
16,2018-09-12 11:48:41.8257971,AM Alaverdi
17,2018-09-12 11:48:41.8257971,AM Agatangeghos
18,2018-09-12 11:48:41.8257971,AM Ashotsk
19,2018-09-12 11:48:41.8257971,AM Ijevan
20,2018-09-12 11:48:41.8257971,AM Kapan
21,2018-09-12 11:48:41.8257971,AM Komitas
22,2018-09-12 11:48:41.8257971,AM Yeghegnadzor
23,2018-09-12 11:48:41.8257971,AM Vedi
24,2018-09-12 11:48:41.8257971,AM Vardenis
25,2018-09-12 11:48:41.8257971,AM Vanadzor-1
26,2018-09-12 11:48:41.8257971,AM Tashir
27,2018-09-12 11:48:41.8257971,AM Talin
28,2018-09-12 11:48:41.8257971,AM Stepanavan
29,2018-09-12 11:48:41.8257971,AM Spitak
30,2018-09-12 11:48:41.8257971,AM Sisian
31,2018-09-12 11:48:41.8257971,AM Shirak
32,2018-09-12 11:48:41.8257971,AM Noyemberyan
33,2018-09-12 11:48:41.8257971,AM Myasnikyan
34,2018-09-12 11:48:41.8257971,AM Meghri
35,2018-09-12 11:48:41.8257971,AM Masis
36,2018-09-12 11:48:41.8257971,AM Martuni
37,2018-09-12 11:48:41.8257971,AM Maralik
38,2018-09-12 11:48:41.8257971,AM Malatia
39,2018-09-12 11:48:41.8257971,AM Abovyan
40,2018-09-12 11:48:41.8257971,AM Jermuk
41,2018-09-12 11:48:41.8257971,AM Xndzdoresk
